controller,dr_level,success_pct,crash_pct,att_deg,final_omega,effort,reward
PID,0.0,100.00,0.00,0.817,0.2442,1.434,6444.2
PID,0.25,100.00,0.00,1.306,0.4114,2.304,6316.0
PID,0.5,95.00,0.00,2.738,0.5457,3.775,6076.1
PID,0.75,50.00,20.00,13.200,4.9540,5.034,4559.4
PID,1.0,20.00,65.00,28.135,14.0828,3.506,2099.9
ppo_shaped_best,0.0,100.00,0.00,0.356,0.1684,1.873,6745.4
ppo_shaped_best,0.25,100.00,0.00,0.613,0.3771,2.885,6677.1
ppo_shaped_best,0.5,25.00,75.00,96.842,24.7457,2.899,1764.6
ppo_shaped_best,0.75,10.00,90.00,74.032,30.8007,2.621,731.9
ppo_shaped_best,1.0,5.00,95.00,87.456,38.9654,2.375,419.4
ppo_adr_best,0.0,100.00,0.00,0.274,0.1076,1.486,6863.8
ppo_adr_best,0.25,100.00,0.00,0.537,0.2236,1.647,6858.4
ppo_adr_best,0.5,100.00,0.00,1.019,0.4087,3.206,6527.5
ppo_adr_best,0.75,15.00,75.00,39.161,29.9983,2.743,1686.0
ppo_adr_best,1.0,15.00,80.00,47.872,18.6986,2.749,1323.9
ppo_control_best,0.0,85.00,0.00,0.621,0.6117,14.815,5729.1
ppo_control_best,0.25,95.00,0.00,0.734,0.6028,14.584,5693.2
ppo_control_best,0.5,25.00,75.00,41.706,14.8760,8.956,2251.1
ppo_control_best,0.75,5.00,90.00,62.558,26.2689,5.083,1060.2
ppo_control_best,1.0,0.00,95.00,82.263,34.3753,4.579,786.9
